DateTime,Date,Hour,Entrances
2022-10-13 12:00:00,2022-10-13,12,261
2022-10-13 13:00:00,2022-10-13,13,274
2022-10-13 14:00:00,2022-10-13,14,297
2022-10-13 15:00:00,2022-10-13,15,266
2022-10-13 16:00:00,2022-10-13,16,375
2022-10-13 17:00:00,2022-10-13,17,299
2022-10-13 18:00:00,2022-10-13,18,275
2022-10-13 19:00:00,2022-10-13,19,191
2022-10-13 20:00:00,2022-10-13,20,192
2022-10-13 21:00:00,2022-10-13,21,133
2022-10-13 22:00:00,2022-10-13,22,100
2022-10-13 23:00:00,2022-10-13,23,21
2022-10-14 05:00:00,2022-10-14,5,9
2022-10-14 06:00:00,2022-10-14,6,120
2022-10-14 07:00:00,2022-10-14,7,81
2022-10-14 08:00:00,2022-10-14,8,131
2022-10-14 09:00:00,2022-10-14,9,159
2022-10-14 10:00:00,2022-10-14,10,254
2022-10-14 11:00:00,2022-10-14,11,294
2022-10-14 12:00:00,2022-10-14,12,340
2022-10-14 13:00:00,2022-10-14,13,319
2022-10-14 14:00:00,2022-10-14,14,339
2022-10-14 15:00:00,2022-10-14,15,295
2022-10-14 16:00:00,2022-10-14,16,363
2022-10-14 17:00:00,2022-10-14,17,276
2022-10-14 18:00:00,2022-10-14,18,267
2022-10-14 19:00:00,2022-10-14,19,158
2022-10-14 20:00:00,2022-10-14,20,111
2022-10-14 21:00:00,2022-10-14,21,92
2022-10-14 22:00:00,2022-10-14,22,80
2022-10-15 08:00:00,2022-10-15,8,131
2022-10-15 09:00:00,2022-10-15,9,151
2022-10-15 10:00:00,2022-10-15,10,230
2022-10-15 11:00:00,2022-10-15,11,380
2022-10-15 12:00:00,2022-10-15,12,327
2022-10-15 13:00:00,2022-10-15,13,286
2022-10-15 14:00:00,2022-10-15,14,330
2022-10-15 15:00:00,2022-10-15,15,409
2022-10-15 16:00:00,2022-10-15,16,366
2022-10-15 17:00:00,2022-10-15,17,446
2022-10-15 18:00:00,2022-10-15,18,343
2022-10-15 19:00:00,2022-10-15,19,431
2022-10-15 20:00:00,2022-10-15,20,385
2022-10-15 21:00:00,2022-10-15,21,131
2022-10-15 22:00:00,2022-10-15,22,1
2022-10-17 06:00:00,2022-10-17,6,182
2022-10-17 07:00:00,2022-10-17,7,137
2022-10-17 08:00:00,2022-10-17,8,217
2022-10-17 09:00:00,2022-10-17,9,276
2022-10-17 10:00:00,2022-10-17,10,316
2022-10-17 11:00:00,2022-10-17,11,266
2022-10-17 12:00:00,2022-10-17,12,279
2022-10-17 13:00:00,2022-10-17,13,260
2022-10-17 14:00:00,2022-10-17,14,309
2022-10-17 15:00:00,2022-10-17,15,262
2022-10-17 16:00:00,2022-10-17,16,450
2022-10-17 17:00:00,2022-10-17,17,403
